category,term,weight,note
core_concept,AI,1.0,最核心英文缩写
core_concept,人工智能,1.0,最核心中文表述
core_concept,数字化转型,1.0,核心研究对象
core_concept,数字化,0.9,广义表述
core_concept,智能化,0.9,广义表述
core_concept,数智化,0.9,会议语境常见表述
technical_term,大模型,1.0,近年高频技术词
technical_term,机器学习,1.0,AI经典表述
technical_term,深度学习,1.0,AI经典表述
technical_term,算法,0.8,需结合上下文识别
technical_term,算法模型,0.9,更强技术指向
technical_term,自然语言处理,1.0,NLP
technical_term,计算机视觉,1.0,CV
technical_term,知识图谱,0.9,AI应用词
technical_term,推荐算法,0.9,平台类企业常见
technical_term,AIGC,1.0,生成式AI
technical_term,工业互联网,0.8,数字化常见场景
technical_term,云计算,0.8,数字基础设施
technical_term,物联网,0.8,数字基础设施
technical_term,大数据,0.8,数字基础设施
technical_term,数据中台,0.8,企业治理和系统建设
technical_term,数据平台,0.8,企业治理和系统建设
technical_term,数字孪生,0.9,制造业/工业场景
technical_term,自动化,0.7,需结合业务场景判断
technical_term,RPA,0.9,流程自动化
scenario_term,智能客服,0.9,客户服务场景
scenario_term,智能质检,0.9,制造/生产场景
scenario_term,风险控制,0.8,金融/平台场景
scenario_term,供应链,0.7,供应链优化
scenario_term,仓储调度,0.8,物流场景
scenario_term,生产排程,0.8,制造场景
scenario_term,设备运维,0.8,工业场景
scenario_term,营销投放,0.8,营销场景
scenario_term,推荐系统,0.9,平台/互联网
scenario_term,财务共享,0.7,管理流程场景
scenario_term,采购管理,0.7,业务流程场景
scenario_term,MES,0.8,制造执行系统
scenario_term,ERP,0.7,企业管理系统
scenario_term,CRM,0.7,客户关系系统
scenario_term,WMS,0.8,仓储系统
evidence_term,研发投入,1.0,客观投入支撑
evidence_term,研发人员,1.0,客观投入支撑
evidence_term,技术人员,0.9,客观投入支撑
evidence_term,专利,1.0,客观输出支撑
evidence_term,软件著作权,0.9,客观输出支撑
evidence_term,系统建设,0.8,实施证据
evidence_term,平台上线,0.8,实施证据
evidence_term,项目落地,0.9,实施证据
evidence_term,算法工程师,0.9,实施证据
evidence_term,IT投入,0.8,实施证据
packaging_term,赋能,0.8,包装高频词
packaging_term,引领,0.9,包装高频词
packaging_term,全面提升,0.8,包装高频词
packaging_term,行业领先,1.0,强宣传色彩
packaging_term,深度融合,0.8,口号化风险
packaging_term,全链路,0.8,口号化风险
packaging_term,生态化,0.8,口号化风险
packaging_term,革命性,1.0,过度宣传
packaging_term,颠覆,1.0,过度宣传
packaging_term,重构,0.8,过度宣传
packaging_term,新引擎,0.8,过度宣传
packaging_term,新动能,0.8,过度宣传
packaging_term,领先优势,0.8,过度宣传
prudence_term,拟,0.8,审慎表述
prudence_term,计划,0.8,审慎表述
prudence_term,探索,0.8,审慎表述
prudence_term,尝试,0.8,审慎表述
prudence_term,逐步,0.8,审慎表述
prudence_term,可能,0.9,审慎表述
prudence_term,预计,0.7,谨慎预期
prudence_term,存在不确定性,1.0,谨慎表述
prudence_term,尚未形成,1.0,谨慎表述
prudence_term,阶段性,0.8,谨慎表述
prudence_term,初步,0.8,谨慎表述
prudence_term,正在建设,0.8,谨慎表述
