category,keyword,group,note
core,人工智能,AI_core,核心总称
core,AI,AI_core,英文缩写
core,AIGC,AI_core,生成式人工智能相关
core,大模型,AI_core,大语言模型与通用模型
core,算法,AI_method,算法能力或算法系统
core,模型,AI_method,模型构建与应用
core,机器学习,AI_method,基础方法术语
core,深度学习,AI_method,基础方法术语
core,计算机视觉,AI_method,典型应用技术
core,自然语言处理,AI_method,典型应用技术
core,NLP,AI_method,自然语言处理缩写
core,智能识别,AI_method,常见表述
core,智能决策,AI_method,常见表述
core,智能推荐,AI_method,常见表述
digital,数字化,DT_core,数字化总称
digital,数智化,DT_core,数字化升级表述
digital,数字化转型,DT_core,研究核心术语
digital,智能化,DT_core,研究核心术语
digital,信息化,DT_related,相邻术语
digital,平台化,DT_related,组织与流程平台
digital,自动化,DT_related,流程自动化
digital,数据驱动,DT_related,经营方式表述
digital,数据中台,DT_infra,基础设施
digital,业务中台,DT_infra,基础设施
digital,技术中台,DT_infra,基础设施
digital,工业互联网,DT_infra,工业数字化
digital,云平台,DT_infra,数字基础设施
digital,云计算,DT_infra,数字基础设施
digital,SaaS,DT_infra,软件即服务
digital,ERP,DT_system,企业系统
digital,MES,DT_system,制造执行系统
digital,CRM,DT_system,客户管理系统
digital,SCM,DT_system,供应链系统
digital,BI,DT_system,商业智能
digital,数据治理,DT_governance,治理类术语
digital,主数据,DT_governance,治理类术语
digital,数字底座,DT_governance,治理类术语
scenario,智能制造,Scenario,具体业务场景
scenario,智慧工厂,Scenario,具体业务场景
scenario,智能客服,Scenario,具体业务场景
scenario,风控模型,Scenario,金融风控场景
scenario,精准营销,Scenario,营销场景
scenario,预测性维护,Scenario,制造场景
scenario,排产优化,Scenario,制造场景
scenario,质量检测,Scenario,制造场景
scenario,仓储优化,Scenario,供应链场景
scenario,供应链协同,Scenario,供应链场景
scenario,知识图谱,Scenario,知识管理场景
scenario,智能问答,Scenario,服务场景
packaging,全面赋能,Packaging,宏大口号
packaging,深度融合,Packaging,高频宣传表述
packaging,领先行业,Packaging,夸大竞争定位
packaging,颠覆式,Packaging,夸大措辞
packaging,全链路,Packaging,概念化措辞
packaging,生态闭环,Packaging,概念化措辞
packaging,持续引领,Packaging,承诺化措辞
packaging,战略升级,Packaging,空泛战略表述
packaging,赋能千行百业,Packaging,宏大叙事
packaging,打造核心壁垒,Packaging,包装性措辞
evidence,研发投入,Evidence,可验证投入
evidence,研发费用,Evidence,可验证投入
evidence,研发人员,Evidence,可验证投入
evidence,专利,Evidence,可验证产出
evidence,软件著作权,Evidence,可验证产出
evidence,数据平台,Evidence,系统建设证据
evidence,信息系统,Evidence,系统建设证据
evidence,技术团队,Evidence,组织能力证据
